country,raw_variable,valid_from,valid_to,concept_id,concept_label,unit_code,scale_factor,mapping_status,break_type,evidence_note,map_version
Switzerland,Consumer Prices,1990-01-01,2026-06-01,CPI,Consumer Prices,,1,confirmed,,,0.1
Switzerland,Current Account,1990-01-01,2026-06-01,CURRENT_ACCOUNT,Current Account,,1,confirmed,,,0.1
Switzerland,GDP (Sports Adjusted),2023-11-01,2026-06-01,GDP,GDP (Sports Adjusted),,1,needs_review,,label likely vendor typo; verify intended series,0.1
Switzerland,Gross Domestic Product,1990-01-01,2026-06-01,GDP,Gross Domestic Product,,1,confirmed,,,0.1
Switzerland,Gross Fixed Investment,1998-06-01,2026-06-01,GFCF,Gross Fixed Investment,,1,confirmed,,,0.1
Switzerland,Industrial Production,1998-06-01,2026-06-01,IP,Industrial Production,,1,confirmed,,,0.1
Switzerland,Investment ,2005-01-01,2005-01-01,GFCF,Investment,,1,needs_review,,bare label; verify which investment aggregate,0.1
Switzerland,Merchandise Exports,1998-06-01,2026-06-01,EXPORTS_MERCH,Merchandise Exports,,1,confirmed,,,0.1
Switzerland,Private Consumption,1998-06-01,2026-06-01,CONSUMPTION_PRIVATE,Private Consumption,,1,confirmed,,,0.1
Switzerland,Three month Interest Rates,1990-01-01,2026-06-01,RATE_3M,Three month Interest Rates,,1,confirmed,,,0.1
Switzerland,Wages ,2005-01-01,2005-02-01,WAGES,Wages,,1,confirmed,,,0.1
UK,10 Year Govt Bond Yield,1990-01-01,2026-06-01,GOV_BOND_10Y,10 Year Govt Bond Yield,,1,confirmed,,,0.1
UK,Car Sales,1993-07-01,1994-12-01,CAR_SALES,Car Sales,,1,confirmed,,,0.1
UK,Consumer Expenditure,1990-01-01,1998-09-01,CONSUMPTION_PRIVATE,Consumer Expenditure,,1,confirmed,,,0.1
UK,Consumer Prices Index,2015-11-01,2026-06-01,CPI,Consumer Prices Index,,1,confirmed,,,0.1
UK,Consumer Prices Index (HICP),2004-01-01,2021-06-01,HICP,Consumer Prices Index (HICP),,1,confirmed,,,0.1
UK,Corporate Profits,1990-01-01,2026-06-01,CORP_PROFITS,Corporate Profits,,1,confirmed,,,0.1
UK,Current Account,1990-01-01,2026-06-01,CURRENT_ACCOUNT,Current Account,,1,confirmed,,,0.1
UK,Gross Domestic Product,1990-01-01,2026-06-01,GDP,Gross Domestic Product,,1,confirmed,,,0.1
UK,Gross Fixed Investment,1990-01-01,2026-06-01,GFCF,Gross Fixed Investment,,1,confirmed,,,0.1
UK,Household Consumption,1998-10-01,2026-06-01,CONSUMPTION_PRIVATE,Household Consumption,,1,confirmed,,,0.1
UK,Housing Starts,1993-07-01,1994-12-01,HOUSING_STARTS,Housing Starts,,1,confirmed,,,0.1
UK,Investment ,2005-01-01,2005-01-01,GFCF,Investment,,1,needs_review,,bare label; verify which investment aggregate,0.1
UK,Manufacturing Production,1990-01-01,2026-06-01,MFG_PROD,Manufacturing Production,,1,confirmed,,,0.1
UK,Monetary Policy Evaluation Prob. of Rate Change at/before,2019-09-01,2026-06-01,POLICY_RATE_PROB,Monetary Policy Evaluation Prob. of Rate Change at/before,,1,confirmed,,,0.1
UK,Money Policy Evaluation Prob. of Rate Change in the,2003-11-01,2019-08-01,POLICY_RATE_PROB,Money Policy Evaluation Prob. of Rate Change in the,,1,confirmed,,,0.1
UK,PSNB (Fiscal Years),1993-05-01,1998-11-01,PSNB,PSNB (Fiscal Years),,1,confirmed,,,0.1
UK,PSNB ex (Fiscal Years),2011-02-01,2026-06-01,PSNB_EX,PSNB ex (Fiscal Years),,1,confirmed,,,0.1
UK,PSNCR (Fiscal Years),1998-12-01,2011-01-01,PSNCR,PSNCR (Fiscal Years),,1,confirmed,,,0.1
UK,Producer Prices,1990-01-01,2026-06-01,PPI,Producer Prices,,1,confirmed,,,0.1
UK,Retail Prices (Headline Rate),1990-01-01,1997-03-01,RPI,Retail Prices (Headline Rate),,1,confirmed,,,0.1
UK,Retail Prices (RPIX),1997-04-01,2026-06-01,RPIX,Retail Prices (RPIX),,1,confirmed,,,0.1
UK,Three month Interest Rates,1990-01-01,2026-06-01,RATE_3M,Three month Interest Rates,,1,confirmed,,,0.1
UK,Unemployment Rate,1990-01-01,2026-06-01,UNEMP_RATE,Unemployment Rate,,1,confirmed,,,0.1
UK,Wages ,1990-01-01,2026-06-01,WAGES,Wages,,1,confirmed,,,0.1
USA,10 Year Govt Bond Yield,1990-01-01,2026-06-01,GOV_BOND_10Y,10 Year Govt Bond Yield,,1,confirmed,,,0.1
USA,Budget Balance (Fiscal Years),1993-05-01,2026-06-01,GOV_BUDGET_BALANCE,Budget Balance (Fiscal Years),,1,confirmed,,fiscal-year basis,0.1
USA,Business Investment,1990-01-01,2026-06-01,INVESTMENT_BUSINESS,Business Investment,,1,confirmed,,,0.1
USA,Car Sales ,1990-01-01,2026-06-01,CAR_SALES,Car Sales,,1,confirmed,,,0.1
USA,Consumer Prices,1990-01-01,2026-06-01,CPI,Consumer Prices,,1,confirmed,,,0.1
USA,Core PCE Prices,2018-06-01,2026-06-01,PCE_CORE,Core PCE Prices,,1,confirmed,,,0.1
USA,Corporate Profits,1990-01-01,2026-06-01,CORP_PROFITS,Corporate Profits,,1,confirmed,,,0.1
USA,Current Account,1990-01-01,2026-06-01,CURRENT_ACCOUNT,Current Account,,1,confirmed,,,0.1
USA,Employment Costs,1990-01-01,2026-06-01,WAGES,Employment Costs,,1,needs_review,,US employment cost index; different statistical concept from wage growth,0.1
USA,Gross Domestic Product,1992-01-01,2026-06-01,GDP,Gross Domestic Product,,1,confirmed,,,0.1
USA,Gross National Product,1990-01-01,1991-12-01,GNP,Gross National Product,,1,confirmed,,,0.1
USA,Housing Starts,1990-01-01,2026-06-01,HOUSING_STARTS,Housing Starts,,1,confirmed,,,0.1
USA,Industrial Production,1990-01-01,2026-06-01,IP,Industrial Production,,1,confirmed,,,0.1
USA,Investment ,2005-01-01,2005-01-01,GFCF,Investment,,1,needs_review,,bare label; verify which investment aggregate,0.1
USA,Monetary Policy Evaluation Prob. of Rate Change at/before,2019-09-01,2026-06-01,POLICY_RATE_PROB,Monetary Policy Evaluation Prob. of Rate Change at/before,,1,confirmed,,,0.1
USA,Money Policy Evaluation Prob. of Rate Change at Next,2003-11-01,2003-12-01,POLICY_RATE_PROB,Money Policy Evaluation Prob. of Rate Change at Next,,1,confirmed,,,0.1
USA,Money Policy Evaluation Prob. of Rate Change at/before,2004-01-01,2019-08-01,POLICY_RATE_PROB,Money Policy Evaluation Prob. of Rate Change at/before,,1,confirmed,,,0.1
USA,Personal Consumption,1990-01-01,2026-06-01,CONSUMPTION_PRIVATE,Personal Consumption,,1,confirmed,,,0.1
USA,Producer Prices,1990-01-01,2026-06-01,PPI,Producer Prices,,1,confirmed,,,0.1
USA,Three month Interest Rates,1990-01-01,2026-06-01,RATE_3M,Three month Interest Rates,,1,confirmed,,,0.1
USA,Unemployment Rate,1990-01-01,2026-06-01,UNEMP_RATE,Unemployment Rate,,1,confirmed,,,0.1
